"","pitchtype","pitcherid","pitches_thrown","avg_init_vel","avg_x_break","avg_z_break","pitcher_name"
"677","FB","2807",54,6308.12962962963,70632.9444444444,185160.425925926,"Ravin, Joshua"
"886","FB","4610",248,6296.58870967742,50682.3306451613,192581.705645161,"Strickland, Hunter"
"30","FB","10543",558,6288.90143369176,64908.1075268817,186903.109318996,"Syndergaard, Noah"
"488","FB","167154",141,6286.1914893617,92074.4113475177,193829.510638298,"Ellington, Brian"
"875","FB","4517",1378,6272.35921625544,77554.0391872279,193474.672714078,"Kimbrel, Craig"
"595","CB","4517",204,2648.27450980392,202647.573529412,56379.2696078431,"Kimbrel, Craig"
"3","CB","10061",327,2523.70948012232,200602.587155963,41535.6422018349,"Allen, Cody"
"769","CB","7658",412,2359.11650485437,191418.106796117,75703.2985436893,"Martinez, Carlos"
"602","CB","4610",70,2293.47142857143,192678.642857143,38694.7285714286,"Strickland, Hunter"
"445","CB","2662",218,2224.35321100917,212953.701834862,49929.4862385321,"Medina, Yoervis"
"537","SL","2543",102,4316.20588235294,135401.676470588,145919.68627451,"Caminero, Arquimedes"
"126","SL","13202",148,4023.04054054054,144528.418918919,169388.047297297,"Wood, Kerry"
"877","SL","6408",56,3889.51785714286,106873.232142857,130627.339285714,"Pryor, Stephen"
"569","SL","2808",397,3680.54408060453,112269.158690176,144575.44836272,"Harvey, Matt"
"75","SL","1194",1027,3622.21518987342,175843.364167478,125897.111976631,"Arrieta, Jake"
"469","CH","175",53,4236.37735849057,163270.490566038,59346.7358490566,"Doyle, Harry"
"1152","CH","9827",76,4227.57894736842,201590.671052632,172986.473684211,"Chapman, Aroldis"
"935","CH","596",81,4165.16049382716,89427.5185185185,183276.049382716,"Rodriguez, Henry"
"363","CH","1475",76,3974.28947368421,88596.8289473684,126998.092105263,"Bard, Daniel"
"585","CH","2543",54,3710.61111111111,90062.6296296296,93898.8518518519,"Caminero, Arquimedes"
